Year,Ticker,Beta_t,Vol_t,EoverP_t,DoverP_t,Beta_t1,RealisedReturn_t1
2004,AIG,1.0922031906552045,"Ticker
AIG    0.220464
dtype: float64","Ticker
AIG    0.005136
Name: 2004-12-31 00:00:00, dtype: float64","Ticker
AIG    0.007266
Name: 2004-12-31 00:00:00, dtype: float64",0.9487152064162885,"Ticker
AIG    0.048243
dtype: float64"
2004,AMGN,1.0992854162908035,"Ticker
AMGN    0.221207
dtype: float64","Ticker
AMGN    0.247523
Name: 2004-12-31 00:00:00, dtype: float64",,1.0594392835591626,"Ticker
AMGN    0.229306
dtype: float64"
2004,BAC,0.7995250973172743,"Ticker
BAC    0.133675
dtype: float64","Ticker
BAC    0.112262
Name: 2004-12-31 00:00:00, dtype: float64","Ticker
BAC    0.056969
Name: 2004-12-31 00:00:00, dtype: float64",0.8152601311482742,"Ticker
BAC    0.024028
dtype: float64"
2004,C,1.069898820280925,"Ticker
C    0.160999
dtype: float64","Ticker
C    0.020926
Name: 2004-12-31 00:00:00, dtype: float64","Ticker
C    0.052893
Name: 2004-12-31 00:00:00, dtype: float64",0.7071557172298326,"Ticker
C    0.046235
dtype: float64"
2004,CMCSA,0.9089597073756884,"Ticker
CMCSA    0.229486
dtype: float64","Ticker
CMCSA    0.522712
Name: 2004-12-31 00:00:00, dtype: float64",,0.8114317551219073,"Ticker
CMCSA   -0.221154
dtype: float64"
2004,CSCO,1.6949664929482255,"Ticker
CSCO    0.318319
dtype: float64","Ticker
CSCO    0.192612
Name: 2004-12-31 00:00:00, dtype: float64",,0.8957640961610777,"Ticker
CSCO   -0.113871
dtype: float64"
2004,CVX,0.694070633986405,"Ticker
CVX    0.169574
dtype: float64","Ticker
CVX    0.362391
Name: 2004-12-31 00:00:00, dtype: float64","Ticker
CVX    0.063367
Name: 2004-12-31 00:00:00, dtype: float64",1.2255551718049926,"Ticker
CVX    0.115426
dtype: float64"
2004,DELL,,,,,,
2004,GE,1.043636638344717,"Ticker
GE    0.165547
dtype: float64","Ticker
GE    0.060182
Name: 2004-12-31 00:00:00, dtype: float64","Ticker
GE    0.037303
Name: 2004-12-31 00:00:00, dtype: float64",0.8811143246585063,"Ticker
GE   -0.014316
dtype: float64"
2004,GS,1.2288979072505612,"Ticker
GS    0.194236
dtype: float64","Ticker
GS    0.567556
Name: 2004-12-31 00:00:00, dtype: float64","Ticker
GS    0.013184
Name: 2004-12-31 00:00:00, dtype: float64",1.1387616828135085,"Ticker
GS    0.238828
dtype: float64"
